0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;a 2 a 0 0 a 2 a;a a 2 0 0 2 a a;0 2 a a a a 2 0;0 a 2 a a 2 a 0;Z
0.01581161;0.01581161;0.49887492;0.49887518;0.25734344; -0.25734344; -0.25734344;0.25734344;0.24153160;0.24153160;0.24153160;0.24153160;595
0.01503710;0.01503710;0.49889887;0.49889913;0.25696815; -0.25696815; -0.25696815;0.25696815;0.24193083;0.24193083;0.24193083;0.24193083;600
0.01431190;0.01431190;0.49892020;0.49892046;0.25661621; -0.25661621; -0.25661621;0.25661621;0.24230410;0.24230410;0.24230410;0.24230410;605
0.01361506;0.01361506;0.49893970;0.49893996;0.25627754; -0.25627754; -0.25627754;0.25627754;0.24266228;0.24266228;0.24266228;0.24266228;610
0.01297319;0.01297319;0.49895681;0.49895706;0.25596516; -0.25596516; -0.25596516;0.25596516;0.24299177;0.24299177;0.24299177;0.24299177;615
0.01236459;0.01236459;0.49897226;0.49897252;0.25566858; -0.25566858; -0.25566858;0.25566858;0.24330380;0.24330380;0.24330380;0.24330380;620
0.01178263;0.01178263;0.49898634;0.49898660;0.25538463; -0.25538463; -0.25538463;0.25538463;0.24360183;0.24360183;0.24360183;0.24360183;625
0.01123250;0.01123250;0.49899903;0.49899929;0.25511591; -0.25511591; -0.25511591;0.25511591;0.24388324;0.24388324;0.24388324;0.24388324;630
0.01071431;0.01071431;0.49901042;0.49901068;0.25486251; -0.25486251; -0.25486251;0.25486251;0.24414804;0.24414804;0.24414804;0.24414804;635
0.01022841;0.01022841;0.49902062;0.49902088;0.25462465; -0.25462465; -0.25462465;0.25462465;0.24439609;0.24439609;0.24439609;0.24439609;640
0.00975704;0.00975704;0.49903006;0.49903032;0.25439369; -0.25439369; -0.25439369;0.25439369;0.24463649;0.24463649;0.24463649;0.24463649;645
0.00932410;0.00932410;0.49903833;0.49903859;0.25418135; -0.25418135; -0.25418135;0.25418135;0.24485710;0.24485710;0.24485710;0.24485710;650
0.00890455;0.00890455;0.49904600;0.49904626;0.25397540; -0.25397540; -0.25397540;0.25397540;0.24507072;0.24507072;0.24507072;0.24507072;655
0.00850516;0.00850516;0.49905296;0.49905322;0.25377919; -0.25377919; -0.25377919;0.25377919;0.24527390;0.24527390;0.24527390;0.24527390;660
0.00813462;0.00813462;0.49905914;0.49905940;0.25359701; -0.25359701; -0.25359701;0.25359701;0.24546226;0.24546226;0.24546226;0.24546226;665
0.00776967;0.00776967;0.49906495;0.49906521;0.25341743; -0.25341743; -0.25341743;0.25341743;0.24564764;0.24564764;0.24564764;0.24564764;670
0.00743806;0.00743806;0.49907001;0.49907027;0.25325416; -0.25325416; -0.25325416;0.25325416;0.24581597;0.24581597;0.24581597;0.24581597;675
0.00711934;0.00711934;0.49907466;0.49907491;0.25309712; -0.25309712; -0.25309712;0.25309712;0.24597766;0.24597766;0.24597766;0.24597766;680
0.00681160;0.00681160;0.49907895;0.49907921;0.25294539; -0.25294539; -0.25294539;0.25294539;0.24613368;0.24613368;0.24613368;0.24613368;685
0.00651798;0.00651798;0.49908287;0.49908313;0.25280054; -0.25280054; -0.25280054;0.25280054;0.24628245;0.24628245;0.24628245;0.24628245;690
0.00624325;0.00624325;0.49908638;0.49908664;0.25266493; -0.25266493; -0.25266493;0.25266493;0.24642158;0.24642158;0.24642158;0.24642158;695
0.00597585;0.00597585;0.49908966;0.49908992;0.25253287; -0.25253287; -0.25253287;0.25253287;0.24655691;0.24655691;0.24655691;0.24655691;700
