a a 2 a 0 2 a 0;a 2 a a 0 a 2 0;0 a 2 0 a 2 a a;0 2 a 0 a a 2 a;a 2 2 0 0 a a a;0 2 2 a a a a 0;a a a 0 0 2 2 a;0 a a a a 2 2 0;Z
0.35182852;0.35182852; -0.35182852; -0.35182852;0.35182849;0.35182849; -0.35182849; -0.35182849;635
0.35182852;0.35182852; -0.35182852; -0.35182852;0.35182849;0.35182849; -0.35182849; -0.35182849;640
0.35182852;0.35182852; -0.35182852; -0.35182852;0.35182849;0.35182849; -0.35182849; -0.35182849;645
0.35182852;0.35182852; -0.35182852; -0.35182852;0.35182849;0.35182849; -0.35182849; -0.35182849;650
0.35182852;0.35182852; -0.35182852; -0.35182852;0.35182849;0.35182849; -0.35182849; -0.35182849;655
0.35182852;0.35182852; -0.35182852; -0.35182852;0.35182849;0.35182849; -0.35182849; -0.35182849;660
0.35182852;0.35182852; -0.35182852; -0.35182852;0.35182850;0.35182850; -0.35182850; -0.35182850;665
0.35182852;0.35182852; -0.35182852; -0.35182852;0.35182850;0.35182850; -0.35182850; -0.35182850;670
0.35182851;0.35182851; -0.35182851; -0.35182851;0.35182850;0.35182850; -0.35182850; -0.35182850;675
0.35182851;0.35182851; -0.35182851; -0.35182851;0.35182850;0.35182850; -0.35182850; -0.35182850;680
0.35182851;0.35182851; -0.35182851; -0.35182851;0.35182850;0.35182850; -0.35182850; -0.35182850;685
0.35182851;0.35182851; -0.35182851; -0.35182851;0.35182850;0.35182850; -0.35182850; -0.35182850;690
0.35182851;0.35182851; -0.35182851; -0.35182851;0.35182850;0.35182850; -0.35182850; -0.35182850;695
0.35182851;0.35182851; -0.35182851; -0.35182851;0.35182850;0.35182850; -0.35182850; -0.35182850;700
