0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;a a 2 0 0 2 a a;0 2 a a a a 2 0;a 2 a 0 0 a 2 a;0 a 2 a a 2 a 0;Z
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;430
0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;435
0.00000000; -0.00000000;0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;440
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;445
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;450
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;455
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;460
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;465
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;470
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;475
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;480
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;485
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;490
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;495
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;500
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;505
 -0.00000000;0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;510
 -0.00000000; -0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;515
