a a 2 0 a a 2 0;0 2 a a 0 2 a a;0 a 2 a 0 a 2 a;a 2 a 0 a 2 a 0;a a a a 0 2 2 0;a 2 2 a 0 a a 0;0 a a 0 a 2 2 a;0 2 2 0 a a a a;a 2 a 0 0 a 2 a;a a 2 0 0 2 a a;0 2 a a a a 2 0;0 a 2 a a 2 a 0;Z
0.00000002; -0.00000002;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;515
0.00000002; -0.00000002;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;520
0.00000002; -0.00000002;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;525
0.00000002; -0.00000002;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;530
0.00000002; -0.00000002;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;535
0.00000002; -0.00000002;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;540
0.00000001; -0.00000001;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;545
0.00000001; -0.00000001;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;550
0.00000001; -0.00000001;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;555
0.00000001; -0.00000001;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;560
0.00000001; -0.00000001;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;565
0.00000001; -0.00000001;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;570
0.00000001; -0.00000001;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;575
0.00000001; -0.00000001;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;580
0.00000001; -0.00000001;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;585
0.00000001; -0.00000001;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;590
0.00000001; -0.00000001;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;595
0.00000001; -0.00000001;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;600
