0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;0 a 2 a a 2 a 0;0 2 a a a a 2 0;a a 2 0 0 2 a a;a 2 a 0 0 a 2 a;Z
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;630
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;635
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;640
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;645
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;650
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;655
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;660
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;665
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;670
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;675
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;680
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;685
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;690
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;695
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;700
